40"DSR_BRANCH_CODE"DSR_CNNO"DSR_BOOKED_BY"DSR_CUST_CODE"DSR_CN_WEIGHT"DSR_CN_TYPE"DSR_DEST"DSR_MODE"DSR_NO_OF_PIECES"DSR_DEST_PIN"DSR_BOOKING_DATE"DSR_AMT"DSR_STATUS"DSR_POD_RECD"DSR_TRANSMF_NO"DSR_BOOKING_TIME"DSR_DOX"DSR_SERVICE_TAX"DSR_SPL_DISC"DSR_CONTENTS"DSR_REMARKS"DSR_VALUE"DSR_INVNO"DSR_INVDATE"MOD_DATE"OFFICE_TYPE"OFFICE_CODE"DSR_REFNO"MOD_TIME"NODEID"USERID"TRANS_STATUS"DSR_ACT_CUST_CODE"DSR_MOBILE"DSR_EMAIL"DSR_NDX_PAPER"DSR_PICKUP_TIME"DSR_VOL_WEIGHT"DSR_CAPTURED_WEIGHT"DSR_ID_NUM
3"DSR_BOOKING_DATE"DSR_BRANCH_CODE"DSR_CNNO
'P15'"'P45192167'"'F'"'PF1538'"0.45"'AR1'"'COK'"'AR'"'1'"'682017'"'24-05-2018'"25"''"NULL "'3627803507'"'18:01:46'"'N'"NULL "NULL "'Clothing'"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'78-AC-C0-9'"'PPN1031'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.45'"NULL 
'P15'"'P45192168'"'F'"'PF1538'"0.65"'AR1'"'LKO'"'AR'"'1'"'226016'"'24-05-2018'"58"''"NULL "'3627803507'"'18:01:46'"'N'"NULL "NULL "'Clothing'"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'78-AC-C0-9'"'PPN1031'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.65'"NULL 
'P15'"'P45192169'"'F'"'PF1538'"0.6"'SC1'"'AMD'"'SF'"'1'"'380055'"'24-05-2018'"27"''"NULL "'3627803507'"'18:01:46'"'N'"NULL "NULL "'Clothing'"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'78-AC-C0-9'"'PPN1031'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.6'"NULL 
'P15'"'P45192170'"'F'"'PF1538'"0.55"'AR1'"'CHE'"'AR'"'1'"'600030'"'24-05-2018'"25"''"NULL "'3627803507'"'18:01:46'"'N'"NULL "NULL "'Clothing'"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'78-AC-C0-9'"'PPN1031'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.55'"NULL 
'P15'"'P45192171'"'F'"'PF1538'"0.65"'AR1'"'PGT'"'AR'"'1'"'678601'"'24-05-2018'"58"''"NULL "'3627803507'"'18:01:46'"'N'"NULL "NULL "'Clothing'"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'78-AC-C0-9'"'PPN1031'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.65'"NULL 
'P15'"'P45192172'"'F'"'PF1538'"0.5"'AR1'"'BLR'"'AR'"'1'"'560078'"'24-05-2018'"25"''"NULL "'3627803507'"'18:01:46'"'N'"NULL "NULL "'Clothing'"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'78-AC-C0-9'"'PPN1031'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.5'"NULL 
'P15'"'P45192173'"'F'"'PF1538'"0.6"'AR1'"'MAD'"'AR'"'1'"'625002'"'24-05-2018'"58"''"NULL "'3627803507'"'18:01:46'"'N'"NULL "NULL "'Clothing'"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'78-AC-C0-9'"'PPN1031'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.6'"NULL 
'P15'"'P45194551'"'F'"'PF1538'"0.1"'AR1'"'VJA'"'AR'"'1'"'521225'"'24-05-2018'"16"''"NULL "'3627803497'"'17:02:18'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'POS0073'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.1'"NULL 
'P15'"'P45194552'"'F'"'PF1538'"0.1"'AR1'"'BRH'"'AR'"'1'"'742101'"'24-05-2018'"16"''"NULL "'3627803497'"'17:02:18'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'POS0073'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.1'"NULL 
'P15'"'P45194553'"'F'"'PF1538'"0.02"'AR1'"'KHA'"'AR'"'1'"'721145'"'24-05-2018'"16"''"NULL "'3627803493'"'17:10:13'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'ppn1230'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.02'"NULL 
